Purchase ID,Datum,Leverantör,Produkt,Kategori,Enhet,Antal,Antal kvar,Pris Ex.m,Locked,Verifikat,Date created,Date modified,Date counted
108,2023-11-17,Vansbro Elektriska Installations Aktiebolag,"SKARVHYLSA 0,25-0,75mm²",El,St,1000,300,2200,1,A340,2024-01-03T09:25:39.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
109,2023-11-17,Happy Homes,QUICK B UNIVERSAL C-BAS S3560-R,Farg,Liter,0.68,0,272.88,1,A342,2024-01-03T09:27:59.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
110,2023-11-22,Stalama Aktiebolag,Wilhelmsson CE stickers,Stickers,St,203,0,512.85,1,A398,2024-01-03T09:29:46.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
111,2023-11-22,Stalama Aktiebolag,Wilhelmsson Serienummer stickers,Stickers,St,203,0,512.85,1,A398,2024-01-03T09:30:02.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
112,2023-11-24,Happy Homes,TJÄRALIN DÖRR/FÖNSTER S3560-R,Farg,Liter,1,0,254,1,A397,2024-01-03T09:31:41.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
113,2023-11-30,Happy Homes,LADY SUPREME FINISH 40 1066,Farg,Liter,2.7,1.3,956,1,A401,2024-01-03T09:33:08.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
114,2023-11-30,Happy Homes,Snickerislip Scotte 1066 SEN EMPIRE,Farg,Liter,1,0,168.32,1,A401,2024-01-03T09:33:36.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
115,2023-12-06,Lantmannen Ek For,Värp Helfoder p 20kg,Foder,Sack,30,0,4916,1,A460,2024-01-03T09:38:02.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
116,2023-12-15,Happy Homes,LADY SUPREME FINISH 40 S3560-R,Farg,Liter,2.7,2.5,956,1,A458,2024-01-03T09:39:44.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
117,2023-12-13,BOLIST Handelsgruppen Malung,Träskruv TKT EZF 3x16mm,Skruv,Pkt,1,0,71.21,1,A449,2024-01-03T15:30:37.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
118,2023-11-24,Fargbroderna I Malung Aktiebolag,LADY Classic 40 S3560-R,Farg,Liter,2.7,0.3,432,1,A448,2024-01-03T15:32:45.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
119,2023-10-11,Fargbroderna I Malung Aktiebolag,Träskruv TFT 2.5x12mm,Skruv,Pkt 200,5,0,111.6,1,A447,2024-01-03T15:35:45.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
